# NumberOfEpochs, BatchSize, LearningRate, FineTuned_Accuracy, FineTuned+SVM_Accuracy
40,20,0.05,99.5,99.5
40,20,0.02,99.5,99.5
40,20,0.01,99.5,99
40,50,0.05,99.5,99.5
40,50,0.02,99,98.5
40,50,0.01,98.5,98.5
40,100,0.05,99.5,99.5
40,100,0.02,98.5,99
40,100,0.01,97.5,97
40,150,0.05,99.5,99.5
40,150,0.02,98,97.5
40,150,0.01,95.5,95.5
60,20,0.05,97.5,98
60,20,0.02,99.5,99.5
60,20,0.01,99.5,99.5
60,50,0.05,99.5,99
60,50,0.02,99,99.5
60,50,0.01,99,99
60,100,0.05,99.5,99.5
60,100,0.02,99.5,99.5
60,100,0.01,98,98.5
60,150,0.05,99.5,99.5
60,150,0.02,98.5,99
60,150,0.01,95,98
80,20,0.05,98.5,98.5
80,20,0.02,99,99.5
80,20,0.01,99,99.5
80,50,0.05,99,99.5
80,50,0.02,99.5,99.5
80,50,0.01,99.5,99
80,100,0.05,99.5,99.5
80,100,0.02,99.5,99.5
80,100,0.01,98.5,98.5
80,150,0.05,99.5,99.5
80,150,0.02,98,97.5
80,150,0.01,96.5,96.5
100,20,0.05,99.5,99.5
100,20,0.02,98.5,99
100,20,0.01,99,99
100,50,0.05,99,99
100,50,0.02,99,99.5
100,50,0.01,98,99
100,100,0.05,99,99
100,100,0.02,98.5,98
100,100,0.01,97.5,96.5
100,150,0.05,98.5,98.5
100,150,0.02,98,98
100,150,0.01,97,97
120,20,0.05,99,99
120,20,0.02,99,99.5
120,20,0.01,99,98.5
120,50,0.05,98.5,98.5
120,50,0.02,98.5,98.5
120,50,0.01,98.5,98
120,100,0.05,99,98
120,100,0.02,98,98.5
120,100,0.01,95.5,96
120,150,0.05,99,98.5
120,150,0.02,97,98.5
120,150,0.01,94.5,94.5
